subsamples,program,seconds,stddev,runs
1,seq,0.0459174,0.0053033284977979205,10
1,lock,0.2257125,0.002972282222655027,10
1,critical,0.2377717,0.0038885415160728604,10
1,atomic,0.2456283,0.0045089153918776445,10
1,reduction,0.0087482,0.0010327898355640634,10
2,seq,0.0733891,0.0013110216923368507,10
2,lock,0.3413608,0.002626324334714035,10
2,critical,0.33324339999999997,0.002844855169131341,10
2,atomic,0.2486576,0.0031044012913568012,10
2,reduction,0.0147479,0.004071549212386962,10
4,seq,0.1368629,0.009241167620430271,10
4,lock,0.5701522,0.0024931231105672315,10
4,critical,0.597514,0.005803191286793095,10
4,atomic,0.2423789,0.0014618881588168403,10
4,reduction,0.0254286,0.004811240038816512,10
8,seq,0.2532584,0.008353048255311078,10
8,lock,0.9092918,0.003721965185818447,10
8,critical,0.9743069,0.0029953213313061787,10
8,atomic,0.2486378,0.0005938431891781953,10
8,reduction,0.0432735,0.005684098487105155,10
16,seq,0.48331589999999996,0.020429759151514456,10
16,lock,1.316547,0.004093862262243604,10
16,critical,1.3455762,0.006279936832661765,10
16,atomic,0.2682177,0.0009672439712916253,10
16,reduction,0.081986,0.005039510866917321,10
32,seq,0.9177182,0.014130248513974092,10
32,lock,1.7118032,0.008416304174372271,10
32,critical,1.6902405,0.0046295870046185955,10
32,atomic,0.2764476,0.004483061359780332,10
32,reduction,0.1499714,0.004565939314338532,10
64,seq,1.7805789,0.012963016010944382,10
64,lock,2.1653681000000002,0.03635653288520968,10
64,critical,2.2955446999999998,0.012720724761410299,10
64,atomic,0.3843563,0.01051299860014576,10
64,reduction,0.3223406,0.007588543736741878,10
128,seq,4.4706994,0.5617094924977185,10
128,lock,2.6780719,0.019490020275059347,10
128,critical,2.8074109,0.01866438077938241,10
128,atomic,0.6425577,0.02293784916319169,10
128,reduction,0.5743979,0.010753871824190174,10
