threads,time_mean,time_std,speedup,speedup_std
1,0.093634800,0.000284348,1.000000,0.004295
2,0.152456700,0.000806537,0.614173,0.003746
3,0.153428300,0.001222023,0.610284,0.005202
4,0.161564700,0.006814978,0.579550,0.024509
5,0.160705700,0.004476057,0.582648,0.016324
6,0.161355100,0.002412427,0.580303,0.008853
7,0.164761300,0.003632839,0.568306,0.012649
8,0.166637200,0.004168779,0.561908,0.014160
9,0.167186000,0.003614014,0.560064,0.012226
10,0.167918400,0.003686049,0.557621,0.012357
11,0.170496100,0.001585488,0.549190,0.005372
12,0.171960400,0.001088900,0.544514,0.003824
13,0.171969500,0.001289887,0.544485,0.004406
14,0.171421400,0.001344061,0.546226,0.004593
15,0.172014100,0.000769004,0.544344,0.002942
16,0.171944700,0.002154923,0.544563,0.007022
17,0.170412600,0.000814368,0.549459,0.003111
18,0.171341500,0.000957291,0.546481,0.003475
19,0.171317300,0.001150929,0.546558,0.004030
20,0.170624400,0.001159844,0.548777,0.004086
21,0.171780000,0.001033178,0.545086,0.003673
22,0.172285300,0.001374104,0.543487,0.004638
23,0.172169300,0.001133334,0.543853,0.003943
24,0.174828400,0.001252161,0.535581,0.004167
25,0.173794700,0.001100392,0.538767,0.003783
26,0.173922600,0.001049283,0.538371,0.003636
27,0.174270200,0.001104413,0.537297,0.003776
28,0.175511500,0.001877779,0.533497,0.005933
29,0.175266600,0.001299954,0.534242,0.004282
30,0.175155600,0.001084643,0.534581,0.003687
31,0.175324600,0.001775440,0.534065,0.005646
32,0.180615400,0.009598013,0.518421,0.027594
33,0.176930900,0.002033931,0.529217,0.006292
34,0.178213700,0.001104122,0.525407,0.003625
35,0.177735400,0.002092482,0.526821,0.006405
36,0.176628800,0.001698822,0.530122,0.005347
37,0.176663200,0.001873710,0.530019,0.005847
38,0.177106800,0.002146880,0.528691,0.006607
39,0.177660200,0.002066436,0.527044,0.006336
40,0.178201800,0.002092662,0.525443,0.006373
41,0.179052000,0.002461553,0.522948,0.007363
42,0.178120900,0.001801277,0.525681,0.005551
43,0.177890200,0.001536319,0.526363,0.004819
44,0.177630200,0.001042218,0.527133,0.003483
45,0.178728500,0.001068841,0.523894,0.003514
46,0.178949100,0.001612493,0.523248,0.004975
47,0.178224100,0.001256438,0.525377,0.004033
48,0.178060100,0.000963636,0.525861,0.003263
49,0.178731800,0.001391128,0.523884,0.004377
50,0.178542200,0.001032049,0.524441,0.003424
